X,Y,scalerank,featurecla,name,website,natlscale
-69.92355713,12.4375,8,Port,Sint Nicolaas,www.rocargo.com/SanNicolas.html,5.000
-58.95141343,-34.15333333,8,Port,Campana,www.consejoportuario.com.ar,5.000
-59.004947,-34.09888889,8,Port,Zarate,www.consejoportuario.com.ar,5.000
-62.10088339,-38.89444444,8,Port,Puerto Belgrano/Bahia Blanca,,5.000
-62.30053004,-38.78305556,8,Port,Puerto Galvan/Bahia Blanca,,5.000
-62.25989399,-38.79194444,8,Port,Ingeniero White/Bahia Blanca,,5.000
-61.85229682,17.12277778,8,Port,Saint John's,www.ab.gov.ag,5.000
115.7381037,-32.0475,8,Port,Fremantle,www.fremantleports.com.au,5.000
151.2095406,-33.97305556,8,Port,Botany Bay,www.sydneyports.com.au,5.000
151.2842167,-23.85111111,8,Port,Rockhampton,www.gpcl.com.au,5.000
2.93368669,51.23,8,Port,Oostende (Ostend),www.portofoostende.be,5.000
3.20459364,51.33638889,8,Port,Zeebrugge,www.zeebruggeport.be,5.000
27.45830389,42.47,8,Port,Burgas,www.port-burgas.com,5.000
50.60759717,26.19861111,8,Port,Mina Sulman Port,www.bahrainports.gov.bh,5.000
50.65883392,26.15861111,8,Port,Sitrah,www.bahrainports.gov.bh,5.000
-64.67302709,32.37944444,8,Port,Saint George,,5.000
-38.47320377,-3.7075,8,Port,Mucuripe,www.docasdoceara.com.br,5.000
-43.1246172,-22.87916667,8,Port,Niteroi,www.portosrio.gov.br,5.000
-48.63545347,-26.23805556,8,Port,Sao Francisco do Sul,www.apsfs.sc.gov.br,5.000
-65.46772674,47.03444444,8,Port,Chatham,,5.000
-53.95689046,48.16333333,8,Port,Clarenville,,5.000
-124.9244405,49.67083333,8,Port,Comox,,5.000
-123.4343934,48.43638889,8,Port,Esquimalt,,5.000
-55.75106007,47.10027778,8,Port,Grand Bank,,5.000
-60.2393404,46.20888889,8,Port,North Sydney,,5.000
-64.9246172,47.79638889,8,Port,Caraquet,,5.000
-71.05265018,48.43,8,Port,Chicoutimi,,5.000
-57.93633687,48.96055556,8,Port,Corner Brook,www.cornerbrookport.com,5.000
-65.75229682,44.62527778,8,Port,Digby,www.portofdigby.ns.ca,5.000
-53.21702002,47.69027778,8,Port,Harbour Grace,,5.000
-62.70441696,45.67472222,8,Port,Pictou,www.pictoumarineterminals.com,5.000
-65.31772674,43.74972222,8,Port,Shelburne,,5.000
-73.11808009,46.04111111,8,Port,Sorel,,5.000
-56.05989399,49.49972222,8,Port,Springdale,,5.000
-52.69234393,47.5625,8,Port,Saint-John's,www.sjpa.com,5.000
-73.15335689,-37.02833333,8,Port,Coronel,,5.000
-73.15848057,-37.09805556,8,Port,Lota,,5.000
-73.10229682,-36.70527778,8,Port,Talcahuano,www.puertotalcahuano.cl,5.000
-71.61808009,-33.5875,8,Port,San Antonio,www.sanantonioport.com,5.000
121.4418139,28.69027778,8,Port,Haimen,,5.000
119.5859835,39.90666667,8,Port,Qinhuangdao,,5.000
114.26702,22.57416667,8,Port,Yantian,www.yantian-port.com,5.000
122.2351001,40.69583333,8,Port,Yingkou,,5.000
-83.07408716,10.00555556,8,Port,Moin,www.japdeva.go.cr,5.000
-75.70335689,20.91916667,8,Port,Banes,,5.000
-79.46931684,22.52916667,8,Port,Caibarien,,5.000
-80.00759717,22.94027778,8,Port,Isabela de Sagua,,5.000
-77.23951708,21.56305556,8,Port,Nuevitas,,5.000
33.94004711,35.12777778,8,Port,Famagusta,,5.000
8.707243816,53.86472222,8,Port,Cuxhaven,www.cuxport.de,5.000
9.835806832,54.47361111,8,Port,Eckernforde,www.stadtwerke-eckernfoerde.de,5.000
8.489517079,53.4875,8,Port,Nordenham,,5.000
7.368963486,53.09638889,8,Port,Papenburg,,5.000
11.43916372,53.90638889,8,Port,Wismar,www.hafen-wismar.de,5.000
10.80689046,55.29888889,8,Port,Nyborg,www.adp-as.com,5.000
12.61702002,56.03444444,8,Port,Helsingor,www.helsingoerhavn.dk,5.000
10.52497055,55.46638889,8,Port,Odense,,5.000
10.78810365,55.30694444,8,Port,Nyborg,www.nyborg.dk/Engelsk/Tourism/NyborgsHarbours,5.000
10.54146054,57.43777778,8,Port,Frederikshavn,www.frederikshavnhavn.dk,5.000
9.504416961,55.25111111,8,Port,Haderslev,,5.000
9.868433451,55.85416667,8,Port,Horsens,www.horsenshavn.dk,5.000
11.08598351,55.66944444,8,Port,Kalundborg,www.portofkalundborg.dk,5.000
9.493404005,55.49277778,8,Port,Kolding,www.koldingport.dk,5.000
11.12108363,54.83222222,8,Port,Nakskov,,5.000
11.85706714,54.77083333,8,Port,Nykobing Falster,www.guldborgsundhavne.dk,5.000
10.05265018,56.46027778,8,Port,Randers,www.randershavn.dk,5.000
10.704947,54.93972222,8,Port,Rudkobing,www.langelandkommune.dk,5.000
10.61702002,55.05861111,8,Port,Svendborg,,5.000
9.551943463,55.70555556,8,Port,Vejle,www.vejleport.dk,5.000
10.58881037,57.71861111,8,Port,Skagen,www.skagenhavn.dk,5.000
-70.70053004,19.80361111,8,Port,Puerto Plata,www.apordom.gov.do,5.000
-70.01808009,18.42027778,8,Port,Rio Haina,www.apordom.gov.do,5.000
0.071260306,35.93444444,8,Port,Mostaganem,,5.000
31.75918728,31.46666667,8,Port,Damietta,www.dam-port.com,5.000
33.94128386,26.74222222,8,Port,Safaga,www.mts.gov.eg,5.000
-5.400353357,36.14777778,8,Port,Algeciras,www.apba.es,5.000
-5.920023557,43.57861111,8,Port,Aviles,www.avilesport.com,5.000
-8.250883392,43.47972222,8,Port,Ferrol,www.apfsc.com,5.000
-6.935806832,37.19277778,8,Port,Huelva,www.puertohuelva.com,5.000
-1.918786808,43.32333333,8,Port,Pasajes,www.puertopasajes.net,5.000
-6.334570082,36.61944444,8,Port,Rota,,5.000
-6.258833922,36.52,8,Port,Cadiz,www.puertocadiz.com,5.000
26.9418139,60.46111111,8,Port,Kotka,www.portofkotka.fi,5.000
24.61666667,65.68305556,8,Port,Veitsiluoto,,5.000
-1.142343934,44.65916667,8,Port,Arcachon,www.arcachon.com,5.000
0.073380448,49.36583333,8,Port,Deauville,,5.000
0.369493522,49.76194444,8,Port,Fecamp,www.fecamp.cci.fr,5.000
-1.223910483,46.15722222,8,Port,La Pallice,www.larochelle.port.fr,5.000
-2.022850412,48.64444444,8,Port,Saint-Malo,www.saint-malo.cci.fr,5.000
3.71024735,43.40472222,8,Port,Sete,www.sete.port.fr,5.000
-4.756713781,55.95472222,8,Port,Greenock,www.clydeport.co.uk,5.000
-1.986513545,50.71444444,8,Port,Poole,www.phc.co.uk,5.000
-5.053533569,50.15277778,8,Port,Falmouth,www.falmouthport.co.uk,5.000
-3.171790342,55.9825,8,Port,Leith,www.forthports.co.uk,5.000
-2.467903416,56.70444444,8,Port,Montrose,www.montroseport.co.uk,5.000
-2.984746761,51.55888889,8,Port,Newport,www.abports.co.uk/custinfo/ports/newport.htm,5.000
-1.356183746,54.90694444,8,Port,Sunderland,www.portofsunderland.org.uk,5.000
-1.157067138,54.60805556,8,Port,Teesport,www.pdports.co.uk,5.000
41.65282686,42.155,8,Port,Poti,www.potiseaport.com,5.000
23.6565371,37.93722222,8,Port,Piraeus,,5.000
23.63368669,37.94111111,8,Port,Piraeus,www.olp.gr,5.000
23.64305065,37.93444444,8,Port,Piraeus,www.medmarinas.com,5.000
-61.75053004,12.04722222,8,Port,Saint George's,www.grenadacruiseport.com,5.000
-52.27196702,4.853055556,8,Port,Cayenne,www.guyane.cci.fr,5.000
14.54075383,45.29972222,8,Port,Bakar,,5.000
13.63492344,45.08055556,8,Port,Rovinj,,5.000
15.89163722,43.72638889,8,Port,Sibenik,www.portauthority-sibenik.hr,5.000
-72.70371025,19.44833333,8,Port,Gonaives,www.apn.gouv.ht,5.000
131.2425206,-0.876944444,8,Port,Sorong,,5.000
76.31042403,9.491944444,8,Port,Alleppey,,5.000
82.2746172,16.97777778,8,Port,Kakinada,www.kakinadaseaports.in,5.000
78.18704358,8.758333333,8,Port,Tuticorin,tuticorinport.gov.in,5.000
-8.471260306,54.27166667,8,Port,Sligo,,5.000
13.93828033,37.09027778,8,Port,Licata,,5.000
8.30795053,40.56277778,8,Port,Alghero,,5.000
14.16007067,40.80333333,8,Port,Bagnoli,,5.000
16.28775029,41.32555556,8,Port,Barletta,,5.000
17.95600707,40.64638889,8,Port,Brindisi,www.porto.br.it,5.000
